type,id,lat,lon,timestamp,version,changeset,user,uid,tags/description,tags/name,tags/shop,tags/source,tags/addr:block_number,tags/addr:city,tags/addr:housenumber,tags/addr:neighbourhood,tags/addr:quarter,tags/branch,tags/brand,tags/brand:en,tags/brand:ja,tags/brand:wikidata,tags/brand:wikipedia,tags/name:en,tags/name:ja,tags/name:ja_rm,tags/phone,tags/wheelchair,tags/covered,tags/second_hand,tags/atm,tags/internet_access,tags/opening_hours,tags/smoking,tags/contact:fax,tags/contact:phone,tags/addr:flats,tags/addr:province,tags/level,tags/addr:full,tags/toilets:wheelchair,tags/addr:postcode,tags/operator,tags/payment:cash,tags/payment:credit_cards,tags/website,tags/addr:suburb
node,1145077201,35.660275,139.737312,2011-02-10T05:30:31Z,1,7242524,higa4,162590,Antique shop,Silk,gift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1145077216,35.6608615,139.7383903,2011-02-10T12:57:50Z,2,7245128,higa4,162590,,Maison Landmaine,bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2048082619,35.663864,139.7388251,2012-12-03T14:11:41Z,1,14139066,ribbon,192905,,ビーズワールド,fabric,"image,2012-11;Bing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2176894878,35.663291,139.739829,2022-03-18T06:35:08Z,8,118617901,wheelmap_visitor,290680,,ファミリーマート,convenience,,8,港区,7,一丁目,六本木,アーク八木ヒルズ店,ファミリーマート,FamilyMart,ファミリーマート,Q1191685,en:FamilyMart,FamilyMart,ファミリーマート,Famirī Mato,03-6234-4120,yes,,,,,,,,,,,,,,,,,,,
node,2209528996,35.661132,139.737452,2023-08-15T05:37:54Z,5,139897189,Jeoriga,6081943,,Ferrari,car,,,,六本木5丁目第3,,,,Ferrari,,,Q27586,,,,,,,no,no,,,,,,,,,,,,,,,,,
node,2350665031,35.663473,139.73749,2021-06-23T19:15:04Z,6,106856918,Yuxian,10084645,,ファミリーマート,convenience,,,,,,,六本木三丁目店,ファミリーマート,FamilyMart,ファミリーマート,Q1191685,en:FamilyMart,FamilyMart,ファミリーマート,,,,,,yes,wlan,24/7,outside,,,,,,,,,,,,,
node,2408510858,35.6636429,139.7400759,2022-03-18T06:41:27Z,6,118617901,wheelmap_visitor,290680,,My basket,supermarket,,,,,,,六本木1丁目店,,,,,,,まいばすけっと,,,yes,,,,,Su-Mo 07:00-23:00,,03-3568-4916,03-3568-4915,,,,,,,,,,,
node,3184078867,35.6615936,139.7377306,2022-03-18T06:40:28Z,4,118617901,wheelmap_visitor,290680,,Audi,car,,,,,,,,Audi,,,Q23317,en:Audi,,,,,yes,,,,,,,,,,,,,,,,,,,
node,3445905055,35.6634815,139.740943,2022-03-18T06:36:12Z,2,118617901,wheelmap_visitor,290680,,Rieven House,convenience,,9,港区,9,一丁目,六本木,,,,,,,,,,03-3505-1655,limited,,,,,"08:00-19:00; Sa, Su, PH off",,,,六本木ファーストビル,東京都,-1,,,,,,,,
node,3558402073,35.661598,139.7372617,2015-05-30T13:09:48Z,1,31584048,nyampire,378532,,KOJIMA,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3558517919,35.6638932,139.7388418,2022-03-18T06:43:12Z,2,118617901,wheelmap_visitor,290680,,,hairdresser,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,
node,3684897300,35.6632264,139.7418923,2025-03-31T05:11:44Z,6,164312470,CR86,1879503,,ファミリーマート,convenience,,,,,,,ファミマ仙石山森タワー店,FamilyMart,FamilyMart,ファミリーマート,Q11247682,en:FamilyMart,FamilyMart,ファミリーマート,,03-3568-3737,yes,,,,,24/7,,,,,,,東京都港区六本木一丁目9-10,no,,,,,,
node,4535371439,35.6634472,139.7371398,2016-12-03T09:08:00Z,1,44132449,nyampire,378532,,MIZUHASHI,alcohol,,,,,,,,,,,,,,,,03-5545-5910,,,,,,"10:00-19:00; Su, PH off",,,,,,,東京都港区六本木 3-3-4,,,,,,,
node,5141453623,35.6600846,139.7375918,2017-10-01T16:40:45Z,1,52541579,Babs02ch1,6717636,,,gift,,,,,,,,,,,,,uguisu the Little shoppe,,,,,,,,,,,,,,,,,,,,,,,
node,8727823281,35.6600209,139.737581,2021-05-13T10:38:55Z,1,104629639,fst0302,13318347,,第六夜 muska jewelry,jewelry,,3,港区,23-5,3,麻布台,,,,,,,,,,+81-3-5829-6180,,,,,,,,,,,東京都,,,,1060041,The Sixth Night Inc.,yes,yes,https://sixth-night.com,
node,11290295092,35.6610537,139.7405148,2023-10-26T07:21:02Z,2,143147862,nicolaibergmann,20506833,,Nicolai Bergmann Flowers & Design,florist,,3-1,港区,麻布台ヒルズ タワープラザ B1F,1,麻布台,,,,,,,,ニコライ バーグマン フラワーズ & デザイン,,,,,,,,,,,,,東京都,,,,106-0041,Nicolai Bergmann,,,https://www.nicolaibergmann.com/locations/azabudaihills-store/,港区
