type,id,lat,lon,timestamp,version,changeset,user,uid,tags/addr:block_number,tags/addr:city,tags/addr:housenumber,tags/addr:neighbourhood,tags/addr:postcode,tags/addr:province,tags/atm,tags/branch,tags/brand,tags/brand:en,tags/brand:ja,tags/brand:wikidata,tags/brand:wikipedia,tags/internet_access,tags/level,tags/name,tags/name:en,tags/name:ja,tags/name:ja_rm,tags/name:zh,tags/official_name:en,tags/opening_hours,tags/operator,tags/phone,tags/shop,tags/source,tags/website,tags/wheelchair,tags/addr:quarter,tags/fixme,tags/wheelchair:description,tags/official_name,tags/official_name:ja,tags/addr:housename,tags/name:ko,tags/craft,tags/tourism,tags/name:es,tags/toilets:wheelchair,tags/wikidata,tags/wikimedia_commons,tags/wikipedia,tags/check_date,tags/addr:country,tags/branch:en,tags/shop:anime,tags/shop:comic_goods,tags/shop:manga,tags/addr:suburb,tags/contact:phone,tags/contact:website,tags/name:fr,tags/name:ja-Latn,tags/official_name:fr,tags/official_name:ja-Latn,tags/contact:twitter,tags/addr:floor,tags/layer,tags/payment:cash,tags/payment:credit_cards,tags/payment:debit_cards,tags/payment:visa,tags/payment:visa_debit,tags/operator:en,tags/operator:wikidata,tags/operator:wikipedia,tags/start_date,tags/note,tags/contact:instagram
node,2365110377,35.681804,139.7717759,2025-07-08T02:28:29Z,19,168628561,gc27,7130304,3,中央区,21,日本橋二丁目,103-0027,東京都,yes,日本橋二丁目店,7-ELEVEN,7-ELEVEN,セブン-イレブン,Q259340,en:7-Eleven,wlan,0,セブン-イレブン,7-Eleven,セブン-イレブン,Sebun Irebun,7-11便利店,Seven-Eleven,24/7,セブンイレブン・ジャパン,+81 3-5201-5518,convenience,(URL) 2015,https://www.sej.co.jp/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2365111053,35.681717,139.771455,2025-03-24T04:38:33Z,10,164013377,CR86,1879503,,,,,,,,八重洲一丁目店,FamilyMart,FamilyMart,ファミリーマート,Q11247682,en:FamilyMart,,,ファミリーマート,FamilyMart,ファミリーマート,Famirī Mato,,,24/7,,+81 3 5204 0236,convenience,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2365554362,35.681355,139.771496,2024-10-08T10:39:42Z,7,157619925,vbence,2457157,3,中央区,18,2,103-0027,東京都,,,おかしのまちおか,Machioka,おかしのまちおか,Q117828763,,,,おかしのまちおか,Machioka,おかしのまちおか,,,,,,,confectionery,,,limited,日本橋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2365555224,35.6812828,139.7716731,2025-03-24T04:38:33Z,9,164013377,CR86,1879503,,,,,,,,,FamilyMart,FamilyMart,ファミリーマート,Q11247682,en:FamilyMart,,,ファミリーマート,FamilyMart,ファミリーマート,,,,,,,convenience,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2463553445,35.6804924,139.7688005,2025-05-23T02:55:43Z,4,166635594,gc27,7130304,7,羽村市,23,栄町1丁目,205-0002,東京都,,,,,,,,,,レアルヘアー,,,,,,,,+81-42-554-6455,hairdresser,,,yes,,please put it in proper location (address included),車いすのかたでも使える美容院。トイレも広い。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3579876681,35.6806763,139.7684655,2025-07-07T10:49:38Z,7,168598596,gc27,7130304,9,千代田区,1,丸の内一丁目,100-0005,東京都,,東京駅グランルーフ店,NTT docomo,NTT docomo,NTTドコモ,Q853958,ja:NTTドコモ,wlan,1,ドコモショップ,docomo Shop,ドコモショップ,Dokomo Shoppu,,,Mo-Su 10:00-21:00,NTTドコモ,+81 3-5221-8886,mobile_phone,(URL) 2015,https://www.nttdocomo.co.jp/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3593816993,35.6809357,139.7684923,2025-05-23T02:57:25Z,12,166635613,gc27,7130304,9,千代田区,1,丸の内1丁目,100-0005,東京都,,東京駅グランルーフフロント,SoftBank,SoftBank,ソフトバンク,Q2214105,ja:ソフトバンクショップ,,-1,ソフトバンクショップ,SoftBank Shop,ソフトバンクショップ,Sofutobanku Shoppu,,SoftBankShop,Mo-Su 10:00-21:00,ソフトバンク,+81-3-3284-1170,mobile_phone,(URL) 2015,https://www.softbank.jp/mobile/,yes,,,,ソフトバンクショップ,ソフトバンクショップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3756803582,35.6788149,139.767655,2025-07-06T22:33:33Z,11,168580797,gc27,7130304,9,千代田区,2,丸の内一丁目,100-6633,東京都,yes,リクルートサウスタワー,7-ELEVEN,7-ELEVEN,セブン-イレブン,Q259340,en:7-Eleven,no,,セブン-イレブン,7-Eleven,セブン-イレブン,Sebun Irebun,7-Eleven,Seven-Eleven,,セブンイレブン・ジャパン,+81 3-3201-1355,convenience,(URL) 2015,https://www.sej.co.jp/,yes,,,,,,グラントウキョウサウ,세븐일레븐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3789921336,35.6789368,139.7712591,2024-06-25T04:28:40Z,4,153137609,wheelmap_visitor,290680,,,,,,,,,,,,,,,,西勘刀 本店,Tokyo Nishikan,,,,,,,,houseware,,,limited,,,,,,,,blacksmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3789921348,35.6801773,139.7719477,2019-06-04T00:52:47Z,3,70904168,Mzaki,9870387,,,,,,,,,,,,,,,,Shoichiro,,,,,,,,,art,,,,,,,,,,,,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
